피터 퀼의 어머니는 드라이브를 즐김,1,,,,,,,,,,,,
메러디스 퀼은 드라이브를 즐김,1,,,,,,,,,,,,
피터 퀼의 어머니는 특이한 식물이 성공적으로 자라는 모습을 보고 뿌듯해함,1,,,,,,,,,,,,
메러디스 퀼은 특이한 식물이 성공적으로 자라는 모습을 보고 뿌듯해함,1,,,,,,,,,,,,
그루트는 피터 퀼의 음악을 들으면서 춤을 춤,1,,,,,,,,,,,,
나무는 피터 퀼의 음악을 들으면서 춤을 춤,1,,,,,,,,,,,,
나무는 스타로드의 음악을 들으면서 춤을 춤,1,,,,,,,,,,,,
그루트는 스타로드의 음악을 들으면서 춤을 춤,1,,,,,,,,,,,,
피터 퀼은 괴물 애빌리스크와 싸움,1,,,,,,,,,,,,
스타로드는 괴물 애빌리스크와 싸움,1,,,,,,,,,,,,
가모라는 괴물 애빌리스크와 싸움,1,,,,,,,,,,,,
드랙스는 괴물 애빌리스크와 싸움,1,,,,,,,,,,,,
그루트는 괴물 애빌리스크와 싸움,1,,,,,,,,,,,,
나무는 괴물 애빌리스크와 싸움,1,,,,,,,,,,,,
너구리는 괴물 애빌리스크와 싸움,1,,,,,,,,,,,,
로켓은 괴물 애빌리스크와 싸움,1,,,,,,,,,,,,
아이샤는 가디언즈에게 네뷸라를 넘겨줌,1,,,,,,,,,,,,
아이샤는 너구리가 쓸모 없는 배터리를 훔친 것을 알고 격분함,1,,,,,,,,,,,,
아이샤는 로켓이 쓸모 없는 배터리를 훔친 것을 알고 격분함,1,,,,,,,,,,,,
아이샤는 가디언즈를 추격함,1,,,,,,,,,,,,
가디언즈는 추격해오는 전투기들을 격추함,1,,,,,,,,,,,,
에고는 가디언즈를 구출함,1,,,,,,,,,,,,
스타로드의 아버지는 가디언즈를 구출함,1,,,,,,,,,,,,
피터 퀼의 아버지는 가디언즈를 구출함,1,,,,,,,,,,,,
로켓은 우주선을 수리함,1,,,,,,,,,,,,
너구리는 우주선을 수리함,1,,,,,,,,,,,,
그루트는 우주선을 수리함,1,,,,,,,,,,,,
나무는 우주선을 수리함,1,,,,,,,,,,,,
에고는 스타로드를 자신의 행성으로 데려감,1,,,,,,,,,,,,
에고는 피터 퀼을 자신의 행성으로 데려감,1,,,,,,,,,,,,
에고는 가모라를 자신의 행성으로 데려감,1,,,,,,,,,,,,
에고는 드랙스를 자신의 행성으로 데려감,1,,,,,,,,,,,,
스타로드의 아버지는 스타로드를 자신의 행성으로 데려감,1,,,,,,,,,,,,
스타로드의 아버지는 피터 퀼을 자신의 행성으로 데려감,1,,,,,,,,,,,,
스타로드의 아버지는 가모라를 자신의 행성으로 데려감,1,,,,,,,,,,,,
스타로드의 아버지는 드랙스를 자신의 행성으로 데려감,1,,,,,,,,,,,,
피터 퀼의 아버지는 피터 퀼을 자신의 행성으로 데려감,1,,,,,,,,,,,,
피터 퀼의 아버지는 가모라를 자신의 행성으로 데려감,1,,,,,,,,,,,,
피터 퀼의 아버지는 드랙스를 자신의 행성으로 데려감,1,,,,,,,,,,,,
피터 퀼의 아버지는 스타로드를 자신의 행성으로 데려감,1,,,,,,,,,,,,
아이샤는 욘두에게 가디언즈를 잡아오라고 제안함,1,,,,,,,,,,,,
욘두는 로켓을 생포함,1,,,,,,,,,,,,
욘두는 너구리를 생포함,1,,,,,,,,,,,,
욘두는 배터리를 수거하려 함,1,,,,,,,,,,,,
욘두는 가디언즈를 살려주려 함,1,,,,,,,,,,,,
테이저페이스는 욘두에게 앙심을 가짐,1,,,,,,,,,,,,
테이저페이스는 내분을 일으킴,1,,,,,,,,,,,,
크래글린은 욘두에게 불만을 토로함,1,,,,,,,,,,,,
네뷸라는 그루트를 꼬드겨 탈출함,1,,,,,,,,,,,,
네뷸라는 나무를 꼬드겨 탈출함,1,,,,,,,,,,,,
네뷸라는 욘두를 무력화시킴,1,,,,,,,,,,,,
네뷸라는 가모라에게 복수하러 감,1,,,,,,,,,,,,
테이저페이스는 욘두를 생포함,1,,,,,,,,,,,,
테이저페이스는 로켓을 생포함,1,,,,,,,,,,,,
테이저페이스는 그루트를 생포함,1,,,,,,,,,,,,
테이저페이스는 나무를 생포함,1,,,,,,,,,,,,
테이저페이스는 너구리를 생포함,1,,,,,,,,,,,,
테이저페이스는 욘두를 감옥에 가둠,1,,,,,,,,,,,,
테이저페이스는 로켓을 감옥에 가둠,1,,,,,,,,,,,,
테이저페이스는 너구리를 감옥에 가둠,1,,,,,,,,,,,,
욘두는 로켓에게 과거사를 말함,1,,,,,,,,,,,,
욘두는 너구리에게 과거사를 말함,1,,,,,,,,,,,,
로켓은 욘두에게 과거사를 말함,1,,,,,,,,,,,,
너구리는 욘두에게 과거사를 말함,1,,,,,,,,,,,,
로켓은 그루트에게 화살 조종 장치를 가져다달라고 말함,1,,,,,,,,,,,,
너구리는 그루트에게 화살 조종 장치를 가져다달라고 말함,1,,,,,,,,,,,,
로켓은 나무에게 화살 조종 장치를 가져다달라고 말함,1,,,,,,,,,,,,
너구리는 나무에게 화살 조종 장치를 가져다달라고 말함,1,,,,,,,,,,,,
크래글린은 욘두에게 화살 조종 장치를 가져다 줌,1,,,,,,,,,,,,
욘두는 테이저페이스를 처단함,1,,,,,,,,,,,,
