1 ,ㅍㅣㅌㅓ ㅋㅟㄹㅇㅢ ㅇㅓㅁㅓㄴㅣㄴㅡㄴ ㄷㅡㄹㅏㅇㅣㅂㅡㄹㅡㄹ ㅈㅡㄹㄱㅣㅁ
1 ,ㅁㅔㄹㅓㄷㅣㅅㅡ ㅋㅟㄹㅇㅡㄴ ㄷㅡㄹㅏㅇㅣㅂㅡㄹㅡㄹ ㅈㅡㄹㄱㅣㅁ
1 ,ㅍㅣㅌㅓ ㅋㅟㄹㅇㅢ ㅇㅓㅁㅓㄴㅣㄴㅡㄴ ㅌㅡㄱㅇㅣㅎㅏㄴ ㅅㅣㄱㅁㅜㄹㅇㅣ ㅅㅓㅇㄱㅗㅇㅈㅓㄱㅇㅡㄹㅗ ㅈㅏㄹㅏㄴㅡㄴ ㅁㅗㅅㅡㅂㅇㅡㄹ ㅂㅗㄱㅗ ㅃㅜㄷㅡㅅㅎㅐㅎㅏㅁ
1 ,ㅁㅔㄹㅓㄷㅣㅅㅡ ㅋㅟㄹㅇㅡㄴ ㅌㅡㄱㅇㅣㅎㅏㄴ ㅅㅣㄱㅁㅜㄹㅇㅣ ㅅㅓㅇㄱㅗㅇㅈㅓㄱㅇㅡㄹㅗ ㅈㅏㄹㅏㄴㅡㄴ ㅁㅗㅅㅡㅂㅇㅡㄹ ㅂㅗㄱㅗ ㅃㅜㄷㅡㅅㅎㅐㅎㅏㅁ
1 ,ㄱㅡㄹㅜㅌㅡㄴㅡㄴ ㅍㅣㅌㅓ ㅋㅟㄹㅇㅢ ㅇㅡㅁㅇㅏㄱㅇㅡㄹ ㄷㅡㄹㅇㅡㅁㅕㄴㅅㅓ ㅊㅜㅁㅇㅡㄹ ㅊㅜㅁ
1 ,ㄴㅏㅁㅜㄴㅡㄴ ㅍㅣㅌㅓ ㅋㅟㄹㅇㅢ ㅇㅡㅁㅇㅏㄱㅇㅡㄹ ㄷㅡㄹㅇㅡㅁㅕㄴㅅㅓ ㅊㅜㅁㅇㅡㄹ ㅊㅜㅁ
1 ,ㄴㅏㅁㅜㄴㅡㄴ ㅅㅡㅌㅏㄹㅗㄷㅡㅇㅢ ㅇㅡㅁㅇㅏㄱㅇㅡㄹ ㄷㅡㄹㅇㅡㅁㅕㄴㅅㅓ ㅊㅜㅁㅇㅡㄹ ㅊㅜㅁ
1 ,ㄱㅡㄹㅜㅌㅡㄴㅡㄴ ㅅㅡㅌㅏㄹㅗㄷㅡㅇㅢ ㅇㅡㅁㅇㅏㄱㅇㅡㄹ ㄷㅡㄹㅇㅡㅁㅕㄴㅅㅓ ㅊㅜㅁㅇㅡㄹ ㅊㅜㅁ
1 ,ㅍㅣㅌㅓ ㅋㅟㄹㅇㅡㄴ ㄱㅚㅁㅜㄹ ㅇㅐㅂㅣㄹㄹㅣㅅㅡㅋㅡㅇㅘ ㅆㅏㅇㅜㅁ
1 ,ㅅㅡㅌㅏㄹㅗㄷㅡㄴㅡㄴ ㄱㅚㅁㅜㄹ ㅇㅐㅂㅣㄹㄹㅣㅅㅡㅋㅡㅇㅘ ㅆㅏㅇㅜㅁ
1 ,ㄱㅏㅁㅗㄹㅏㄴㅡㄴ ㄱㅚㅁㅜㄹ ㅇㅐㅂㅣㄹㄹㅣㅅㅡㅋㅡㅇㅘ ㅆㅏㅇㅜㅁ
1 ,ㄷㅡㄹㅐㄱㅅㅡㄴㅡㄴ ㄱㅚㅁㅜㄹ ㅇㅐㅂㅣㄹㄹㅣㅅㅡㅋㅡㅇㅘ ㅆㅏㅇㅜㅁ
1 ,ㄱㅡㄹㅜㅌㅡㄴㅡㄴ ㄱㅚㅁㅜㄹ ㅇㅐㅂㅣㄹㄹㅣㅅㅡㅋㅡㅇㅘ ㅆㅏㅇㅜㅁ
1 ,ㄴㅏㅁㅜㄴㅡㄴ ㄱㅚㅁㅜㄹ ㅇㅐㅂㅣㄹㄹㅣㅅㅡㅋㅡㅇㅘ ㅆㅏㅇㅜㅁ
1 ,ㄴㅓㄱㅜㄹㅣㄴㅡㄴ ㄱㅚㅁㅜㄹ ㅇㅐㅂㅣㄹㄹㅣㅅㅡㅋㅡㅇㅘ ㅆㅏㅇㅜㅁ
1 ,ㄹㅗㅋㅔㅅㅇㅡㄴ ㄱㅚㅁㅜㄹ ㅇㅐㅂㅣㄹㄹㅣㅅㅡㅋㅡㅇㅘ ㅆㅏㅇㅜㅁ
1 ,ㅇㅏㅇㅣㅅㅑㄴㅡㄴ ㄱㅏㄷㅣㅇㅓㄴㅈㅡㅇㅔㄱㅔ ㄴㅔㅂㅠㄹㄹㅏㄹㅡㄹ ㄴㅓㅁㄱㅕㅈㅜㅁ
1 ,ㅇㅏㅇㅣㅅㅑㄴㅡㄴ ㄴㅓㄱㅜㄹㅣㄱㅏ ㅆㅡㄹㅁㅗ ㅇㅓㅄㄴㅡㄴ ㅂㅐㅌㅓㄹㅣㄹㅡㄹ ㅎㅜㅁㅊㅣㄴ ㄱㅓㅅㅇㅡㄹ ㅇㅏㄹㄱㅗ ㄱㅕㄱㅂㅜㄴㅎㅏㅁ
1 ,ㅇㅏㅇㅣㅅㅑㄴㅡㄴ ㄹㅗㅋㅔㅅㅇㅣ ㅆㅡㄹㅁㅗ ㅇㅓㅄㄴㅡㄴ ㅂㅐㅌㅓㄹㅣㄹㅡㄹ ㅎㅜㅁㅊㅣㄴ ㄱㅓㅅㅇㅡㄹ ㅇㅏㄹㄱㅗ ㄱㅕㄱㅂㅜㄴㅎㅏㅁ
1 ,ㅇㅏㅇㅣㅅㅑㄴㅡㄴ ㄱㅏㄷㅣㅇㅓㄴㅈㅡㄹㅡㄹ ㅊㅜㄱㅕㄱㅎㅏㅁ
1 ,ㄱㅏㄷㅣㅇㅓㄴㅈㅡㄴㅡㄴ ㅊㅜㄱㅕㄱㅎㅐㅇㅗㄴㅡㄴ ㅈㅓㄴㅌㅜㄱㅣㄷㅡㄹㅇㅡㄹ ㄱㅕㄱㅊㅜㅎㅏㅁ
1 ,ㅇㅔㄱㅗㄴㅡㄴ ㄱㅏㄷㅣㅇㅓㄴㅈㅡㄹㅡㄹ ㄱㅜㅊㅜㄹㅎㅏㅁ
1 ,ㅅㅡㅌㅏㄹㅗㄷㅡㅇㅢ ㅇㅏㅂㅓㅈㅣㄴㅡㄴ ㄱㅏㄷㅣㅇㅓㄴㅈㅡㄹㅡㄹ ㄱㅜㅊㅜㄹㅎㅏㅁ
1 ,ㅍㅣㅌㅓ ㅋㅟㄹㅇㅢ ㅇㅏㅂㅓㅈㅣㄴㅡㄴ ㄱㅏㄷㅣㅇㅓㄴㅈㅡㄹㅡㄹ ㄱㅜㅊㅜㄹㅎㅏㅁ
