1 ,ㅋㅐㅂㅌㅣㄴ ㅇㅏㅁㅔㄹㅣㅋㅏ ㅅㅠㅍㅓㅅㅗㄹㅈㅕ ㅍㅡㄹㅗㅈㅔㄱㅌㅡ ㅊㅏㅁㄱㅏㅎㅏㄴㄷㅏ
1 ,ㅅㅡㅌㅣㅂㅡ ㄹㅗㅈㅓㅅㅡ ㅅㅠㅍㅓㅅㅗㄹㅈㅕ ㅍㅡㄹㅗㅈㅔㄱㅌㅡ ㅊㅏㅁㄱㅏㅎㅏㄴㄷㅏ
1 ,ㅋㅡㄹㅣㅅㅡ ㅇㅔㅂㅏㄴㅅㅡ ㅅㅠㅍㅓㅅㅗㄹㅈㅕ ㅍㅡㄹㅗㅈㅔㄱㅌㅡ ㅊㅏㅁㄱㅏㅎㅏㄴㄷㅏ
1 ,ㅋㅐㅂㅌㅣㄴ Orㅁㅔㄹㅣㅋㅏ ㅅㅠㅍㅓㅅㅗㄹㅈㅕ ㅍㅡㄹㅗㅈㅔㄱㅌㅡ ㅊㅏㅁㄱㅏㅎㅏㄴㄷㅏ
1 ,ㅋㅐㅂㅌㅣㄴ Orㅁㅔㄹㅣㅋr ㅅㅠㅍㅓㅅㅗㄹㅈㅕ ㅍㅡㄹㅗㅈㅔㄱㅌㅡ ㅊㅏㅁㄱㅏㅎㅏㄴㄷㅏ
1 ,Captain America ㅅㅠㅍㅓㅅㅗㄹㅈㅕ ㅍㅡㄹㅗㅈㅔㄱㅌㅡ ㅊㅏㅁㄱㅏㅎㅏㄴㄷㅏ
1 ,Captain Orㅁㅔㄹㅣㅋㅏ ㅅㅠㅍㅓㅅㅗㄹㅈㅕ ㅍㅡㄹㅗㅈㅔㄱㅌㅡ ㅊㅏㅁㄱㅏㅎㅏㄴㄷㅏ
1 ,Captain Orㅁㅔㄹㅣㅋr ㅅㅠㅍㅓㅅㅗㄹㅈㅕ ㅍㅡㄹㅗㅈㅔㄱㅌㅡ ㅊㅏㅁㄱㅏㅎㅏㄴㄷㅏ
1 ,ㅋㅐㅂㅇㅏ ㅅㅠㅍㅓㅅㅗㄹㅈㅕ ㅍㅡㄹㅗㅈㅔㄱㅌㅡ ㅊㅏㅁㄱㅏㅎㅏㄴㄷㅏ
1 ,ㅋㅐㅂㅌㅣㄴ ㅅㅠㅍㅓㅅㅗㄹㅈㅕ ㅍㅡㄹㅗㅈㅔㄱㅌㅡ ㅊㅏㅁㄱㅏㅎㅏㄴㄷㅏ
1 ,ㅋㅐㅂㅌㅣㄴ ㅇㅏㅁㅔㄹㅣㅋㅏ ㅎㅜㄴㄹㅕㄴ ㅈㅜㅇ ㅅㅜㄹㅠㅌㅏㄴ ㅌㅓㅈㅕ ㅈㅜㄱㄴㅡㄴㄷㅏ
1 ,ㅋㅐㅂㅌㅣㄴ ㅇㅏㅁㅔㄹㅣㅋㅏ ㅎㅜㄴㄹㅕㄴ ㅈㅜㅇ ㅅㅜㄹㅠㅌㅏㄴ ㅌㅓㅈㅕ ㅅㅏㅁㅏㅇㅎㅏㄴㄷㅏ
1 ,ㅋㅐㅂㅌㅣㄴ ㅇㅏㅁㅔㄹㅣㅋㅏ ㅎㅜㄴㄹㅕㄴ ㅈㅜㅇ ㅅㅜㄹㅠㅌㅏㄴ ㅌㅓㅈㅕ ㅈㅜㄱㅇㅡㅁ
1 ,ㅋㅐㅂㅌㅣㄴ ㅇㅏㅁㅔㄹㅣㅋㅏ ㅎㅜㄴㄹㅕㄴ ㅈㅜㅇ ㅅㅜㄹㅠㅌㅏㄴ ㅌㅓㅈㅕ ㅅㅏㅁㅏㅇ
